title,start_date,price,product_type,duration,course_url,provider,description,learning_outcomes,who_should_attend
Introduction to Systems Thinking for Policymaking,05 Aug 2026,$981.00,Classroom,8h,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CR-P11ISTP&LastEntry=,Civil Service College (CSC),"When policy problems are complex, the instinct is often to diagnose the cause and apply a direct fix. But in practice, such an approach can produce unintended consequences, or fail entirely, because the real drivers lie elsewhere in the system. Introduction to Systems Thinking for Policymaking is a one-day, hands-on programme designed to strengthen junior officers’ critical thinking in complex policy work. You will move beyond linear problem-solving to adopt a systems perspective – understanding how your policy challenges are embedded within broader systems that shape behaviours and outcomes. Using a practical Adaptive Action approach applied to real cases and guided exercises, you will develop sharper problem framing, learn to identify patterns, map interdependencies, and make more informed policy decisions in complex environments.","Describe what is meant by a system and systems thinking.
Explain the importance of systems thinking in policymaking",New officers and/or individual contributors in the Policy and Planning function.
Partnership and Engagement 301,-,,Classroom,16h,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CR-P31PE&LastEntry=,Civil Service College (CSC),"(Do note that CRPE301 was the previous code for this programme)

Citizen engagement projects are complex on multiple fronts. On the front-end, they involve significant interface between government agencies and citizen stakeholders; on the back-end they involve substantial coordination across departments within agencies, and often between agencies if issues cut across multiple policy domains. They also require simultaneous management of multiple stakeholders: Political Office Holders and senior management of an agency, stakeholders on the issues being discussed, citizen participants and internal staffing teams.

These multiple, overlapping complexities require a particular blend of leadership skills that the programme will introduce – these skills include polarity thinking, complexity science and systems thinking, managing and designing experiences for multiple personality types, and harnessing a range of leadership action logics.

The programme will focus on practical application of th","Appreciate the range of motivations for different stakeholders involved in citizen engagement and partnership projects, both in and outside of government, and at both senior and junior levels within governments
Apply a range of leadership and managerial tools to the specific challenges, opportunities and needs of citizen engagement and partnership projects
Recognise that as senior leaders, they can have significant agency to influence the outcomes and/or success of citizen engagement and partnership projects, even if ultimate authority might rest with more senior officers, and expertise might lie among both more junior staff and external facilitators/partners
Identify how their personal leadership can be manifested in constructive ways for citizen engagement and partnership projects",Directors and above with significant working experience on citizen engagement at the leadership level and/or are leading multiple complex citizen engagement projects
Applied AI in Practice,-,,Classroom,4.5h,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CR-P11AAIP&LastEntry=,Civil Service College (CSC),"Turn your everyday tasks into productivity gains with AI

You've learned the basics, now it's time to put that knowledge into practice. Through this half-day programme, you'll learn to integrate government and commercial AI tools - Pair, PlatformAI (Govtech), Orca (MOM), NotebookLM into daily tasks through hands-on application. 

You'll work on authentic work scenarios like analysing data, brainstorming ideas, conducting research, or handling service requests by combining multiple AI platforms.

What you'll gain:

Workflow integration: Learn how AI fits naturally into your workflows and processes
 
Public service case studies: Work on scenarios that align with your role, covering research, presentation, or customer service, etc.
 
Ready-to-use prompts: Leave with practical knowledge and examples you can adapt to your daily tasks

Note: This programme has replaced V11AIH - The AI Handbook: A Beginner's Guide. We'll gradually update the content as new AI tools become available. 

Learner","Apply effective prompting techniques to enhance AI-assisted work  
Integrate and combine AI tools responsibly into public service workflows 
Leverage AI for diverse tasks across multiple domains","You are a public officer who is beginning to use AI at work. You know basic prompting skills and have used tools like ChatGPT and Pair for tasks such as drafting emails and summarisation. 

You're looking to learn how to integrate generative AI into your daily work and discover how to combine multiple AI tools effectively."
Powering Tomorrow: Inside Shenzhen's Digital Ecosystem,16 Nov 2026,"$7,989.70",Classroom,40h,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CR-P11GISN&LastEntry=,Civil Service College (CSC),"(Do note that CRGISN was the previous code for this programme)

Join us on an immersive journey into China's digital ecosystem and witness its technological advances firsthand. Step into Shenzhen, China's Silicon Valley and innovation powerhouse, to see how it is transforming public service delivery and urban solutions.

Singapore and China's digital partnership has grown significantly through key initiatives including the Chongqing Connectivity Initiative (2015), the Shenzhen Smart Cities Initiative (2019), and the Digital Policy Dialogue (2023). These partnerships have paved the way for meaningful collaboration in digital connectivity, innovation and entrepreneurship, and talent exchange development.

As Singapore continues to deepen its international digital partnerships, this programme offers a unique opportunity for public service officers to explore how China's cutting-edge digital innovations can be contextualised and applied to Singapore’s Smart Nation journey.

This programme ","Learn about Shenzhen's smart city vision and how digitalisation is transforming Chinese megacities
Explore Shenzhen's AI innovations and applications in urban solution
Visit leading tech companies to learn about digital innovations and solutions","Officers should preferably have at least 3–7 years of work experience in digital development and/or international relations-related portfolios, with a strong emphasis on those in or preparing for team lead positions."
Municipal Services Delivery Programme,18 Aug 2026,$997.35,Classroom,13h,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CR-P11MSDP&LastEntry=,Civil Service College (CSC),"(Do note that CRMSDC1 was the previous code for this programme)

Have you ever wondered about the different roles of our municipal agencies? Or wished you were able to navigate the various protocols and Standard Operating Procedure (SOPs) with ease to help citizens better?

In this programme, you will learn to solve municipal issues with practical resources. You will also get acquainted with fellow officers from other municipal agencies and have the opportunity to discuss complex issues for effective municipal services delivery. We will also share case studies and good practices (e.g. in responding to public feedback).

This programme is developed in partnership with the Municipal Services Office (MSO).

You are required to complete “Delivering Municipal Services 101” in LEARN before coming to the classroom segment.","Recognise the roles and responsibilities of agencies in the municipal sector
Identify tools to resolve inter-agency issues
Learn citizen-centred approaches in responding to public feedback","You are a frontline officer i.e. Ops managers and officer (MX12 and below) with up to 1 year of experience in managing municipal issues in a OneService agency. Participants must be in a OneService agency i.e. BCA, HDB, LTA, NEA, NParks, PA, PUB, SLA, SPF and URA."
Parliamentary Replies And Processes ,-,,Classroom,12h,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CR-P11PRP&LastEntry=,Civil Service College (CSC),"(Do note that CR-P11PPAR was the previous code for this programme)

As a public officer, you may find yourself having to provide answers to questions posed to your ministry during parliamentary session.

In this programme, you will learn how to draft effective parliamentary replies which emphasises your organisation's key messages to the public. You will also learn the business of Parliament and understand the PQ system, its procedures and timelines.","Understand the PQ system, its procedures and timelines.
Draft replies that address the main concerns of the Members of Parliament (MPs), their constituents and the public, and emphasise the organisations key messages to the public",You are a Singapore Public Officer who may be required to write responses to parliamentary sessions in the course of your work.
High Performing Teams by Design,-,,Classroom,8h,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CR-M12HPTD&LastEntry=,Civil Service College (CSC),"High Performing Teams by Design is a one-day, practice-based workshop for leaders to improve team effectiveness by diagnosing and shaping the conditions that matter most—so you can exercise judgement on where to focus your leadership effort, using the Six Team Conditions framework as a guide.

Rather than reacting to visible issues (e.g. misalignment, slow decisions, ineffective meetings), the programme helps you diagnose the underlying conditions that shape team performance—and exercise judgement on where to intervene for greatest impact.

Core concepts of the Six Team Conditions framework are introduced through prerequisite e-learning modules (delivered as a separate programme), enabling workshop time to focus on applying the framework to your own team, learning from peers, and translating insights into action","Diagnose team challenges at the level of underlying conditions (not just behaviours)
Assess your team’s current conditions and identify the highest-leverage focus area
Learn how other leaders approach similar team challenges across contexts
Leave with a practical action plan and clear next steps to take with your team",Deputy Directors and Directors leading teams
AI Tech Festival: AIgniting Action,18 Sep 2026,$141.70,Events,8h,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=EV-P11AITF&LastEntry=,Civil Service College (CSC),"AI Tech Festival is back again, this time, to help you in your AI journey, to turn that spark of intention into action!

Join the AI Tech Festival - Igniting Action this year in person and discover how  AI can be applied meaningfully in your work across the public service. Through plenary session, concurrent breakout session, live demonstrations, and interactive showcases, you will explore real-world government use cases and gain practical insights into how you may adopt AI in your work to enhance productivity, decision-making, and service delivery. Learn more about AI tools through play at our AI Playground too! This event offers you a hands-on opportunity to learn, build networks and contacts and build confidence in applying AI in your day-to-day role! 

Curate your own learning for that day by choosing the breakout session of your choice. More details will be shared with you via email upon confirmation of your registration.","We hope the event will enable participants to:

Sharp minds, Smart tools 
Building mindsets and applying critical thinking to get better outcomes from AI, owning the work, and not outsourcing your judgement
 
Domain Exchange – Across Workflow
Discovering possibilities of adopting AI in various functional domains in Public Service, highlighting the opportunities and challenges of AI adoption
 
AI in Action 
AI-related Hands-on experience, providing participants with the skills and confidence to apply & explore AI solutions in their work.
 
Use AI safely and responsibly
Using AI with a clear understanding of its ethical boundaries, data responsibilities, and risks","This is only for Singapore Public Officers, who are keen to move beyond awareness of AI and seek to adopt AI in the course of work."
PaCE – Public Communications and Engagement Executive Programme,18 Jan 2027,"$2,943.00",Milestone,40h,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=MS-P11PACE&LastEntry=,Civil Service College (CSC),"(Do note that MSPCE10 was the previous code for this programme)

The Public Communications and Engagement Executive Programme (PaCE), previously known as the Public Communications and Engagement 101 Programme, is a milestone programme that provides an overview of the key thrusts and challenges of government communications. 


In this programme, you will learn about the good practices of effective government communications in five key areas – Strategic Communications, Media Messaging & Engagement, Marketing & Branding, Research & Analysis, and Engagement. 


You will also learn about the government communications structure, use data to shape communication strategy, get the best out of media engagement, explore news treatment by different media, learn how to manage misinformation and fake news, develop a marketing campaign, adopt a digital first strategy for communication efforts, and strengthen engagement and outreach.","- Gain an overview of the core knowledge and skills in 5 critical areas of communications:
Strategic Communications
Media Messaging and Engagement
Marketing and Branding
Research and Data Analysis
Engagement


- Identify digital platforms, consumption patterns and audience analysis for a digital first strategy.


- Be equipped with practical tips and best practices on effective ground execution to deliver impactful communication results and outcomes.


- Identify central resources available for the implementation of government communication work and services e.g. WOG Framework agreements for procurement of translation services, content creation and research, as well as resources for partnership and engagement.",Singapore Public Service Officers with less than 3 years of experience and who are involved in Public Communications and Engagement work.
Integrating Strategic Communications and Engagement for Impact,13 Jan 2027,"$1,019.15",Classroom,24h,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CR-P21PCE&LastEntry=,Civil Service College (CSC),"Government communications must be impactful to achieve the desired outcomes – build understanding and awareness, gain public trust, and support and influence behaviours. This requires an integrated communications and engagement plan that covers the entire spectrum of competencies, from shaping narrative and key messages, staging the comms roll out on policy announcement, driving sense-making/research/message testing to engaging key stakeholders. This three-day programme is designed to illustrate how the various components of effective public communications come together to support policy roll out and ground implementation. 

You'll gain practical skills through three key ways: 

Case Study Analysis: Examine public communications interventions and value-add upstream for specific government policies and learn from best practices
Expert Insights: Learn directly from experienced practitioners who will share their insights and lessons learnt on effective government communication strategies ","Design an integrated communications, partnership and engagement (CPE) strategy to meet policy and communications objectives.
Utilise key data and research to identify and analyse specific audience segments, enabling customised messaging and narratives for each group. 
Develop a targeted stakeholder engagement plan to shape public opinion, manage perceptions and build meaningful stakeholder relationships. 
Identify and address potential opportunities and challenges through risk mitigation strategies, including ground sensing, message testing, and counter narratives. 
Establish key performance indicators to measure the progress and effectiveness of the integrated CPE strategy.","Middle Managers in the Comms and Engagement function.

$1,019.15/ participant
Including 9% GST of $84.15
Fees & Grants Details
Product Type
Classroom
Duration
24h 
Start Date
13 Jan 2027
Venue
CSC
Provided By
Civil Service College (CSC)
Domain 
•
Public Communications
•
Partnership and Engagement
Target Audience
Manager
Middle Management
LEARN
Contact Us
Reach.gov.sg
Report Vulnerability
Privacy Statement
Terms of Use
© 2026 Civil Service College.
Last Updated 18 June 2026
A Singapore Government Agency Website
How to identify
Log In
Public Service Learning Fest 2026​

Public Service Learning Fest 2026 brings learning to life with keynotes, workshops, webinars, learning journeys, and curated LEARN resources. Dive in to level up your AI and innovation skills this July.​ Explore More

1/1
About"
